,question,answer,img_id,type
0,hình có mấy cái ghế,năm,600000,1
1,có bao nhiêu tòa nhà trong hình,bốn,600001,1
2,có bao nhiêu cái bàn trong hình,một,600002,1
3,số lượng máy tính xách tay là bao nhiêu,bốn,600003,1
4,trong hình có bao nhiêu điện thoại,sáu,600004,1
5,trong hình có bao nhiêu con chim,một,600005,1
6,có bao nhiêu xe ô tô,bốn,600006,1
7,hình có mấy con cừu,năm,600007,1
8,trong hình có bao nhiêu con chim,sáu,600008,1
9,có bao nhiêu con chim trong hình,năm,600009,1
10,có bao nhiêu cái ghế trong hình,năm,600010,1
11,hình có mấy con chim,bốn,600011,1
12,hình có mấy cái bàn,năm,600012,1
13,trong hình có bao nhiêu máy tính xách tay,một,600013,1
14,trong hình có bao nhiêu chai,bốn,600014,1
15,hình có mấy máy tính xách tay,hai,600015,1
16,hình có mấy tòa nhà,ba,600016,1
17,số lượng người là bao nhiêu,năm,600017,1
18,số lượng cái bàn là bao nhiêu,sáu,600018,1
19,có bao nhiêu cái bàn trong hình,năm,600019,1
20,có bao nhiêu cái bàn,sáu,600020,1
21,hình có mấy cái cây,sáu,600021,1
22,hình có mấy cái cây,một,600022,1
23,có bao nhiêu cái cây trong hình,tám,600023,1
24,có bao nhiêu tòa nhà,bốn,600024,1
25,hình có mấy con mèo,ba,600025,1
26,trong hình có bao nhiêu cái bàn,sáu,600026,1
27,có bao nhiêu người,bảy,600027,1
28,số lượng cái cây là bao nhiêu,ba,600028,1
29,có bao nhiêu con chim trong hình,hai,600029,1
30,hình có mấy con ngựa,sáu,600030,1
31,trong hình có bao nhiêu cái cây,bốn,600031,1
32,số lượng cốc là bao nhiêu,một,600032,1
33,có bao nhiêu xe ô tô,bảy,600033,1
34,có bao nhiêu tòa nhà trong hình,một,600034,1
35,hình có mấy điện thoại,năm,600035,1
36,số lượng cái cây là bao nhiêu,năm,600036,1
37,có bao nhiêu cốc,năm,600037,1
38,số lượng cốc là bao nhiêu,bốn,600038,1
